Kategorija,Juridinis_kodas,Padalinio_pavadinimas,Istaigos_tipas,Savivaldybe,Adresas,Padalinio_ID,Tikslinis_kodas,Tikslinis_pavadinimas,Saltinio_data
Gimnazijos,190133962,Kauno Gedimino sporto ir sveikatinimo gimnazija,Pagrindinë mokykla ; Pradinë mokykla ; Gimnazija,Kaunas,"Kaunas, Aukðtaièiø g. 78",88691960188,190133962,Kauno Gedimino sporto ir sveikatinimo gimnazija,2026-09-02
Gimnazijos,190139659,Kauno Juozo Gruðo meno gimnazija,Pagrindinë mokykla ; Pradinë mokykla ; Gimnazija,Kaunas,"Kaunas, Ðarkuvos g. 30",88691960159,190139659,Kauno Juozo Grušo meno gimnazija,2026-09-02
Gimnazijos,191825091,Kauno Jono Jablonskio gimnazija,Gimnazija ; Pagrindinë mokykla,Kaunas,"Kaunas, Auðros g. 3",88691960150,191825091,Kauno Jono Jablonskio gimnazija,2026-09-02
Gimnazijos,190136353,Kauno technologijos universiteto inþinerijos licëjus,Gimnazija ; Pagrindinë mokykla ; Pradinë mokykla,Kaunas,"Kaunas, S. Lozoraièio g. 13",88691960133,190136353,Kauno technologijos universiteto inžinerijos licėjus,2026-09-02
Gimnazijos,190136691,Kauno Kovo 11-osios gimnazija,Pagrindinë mokykla ; Pradinë mokykla ; Gimnazija,Kaunas,"Kaunas, Kovo 11-osios g. 50",88691960139,190136691,Kauno Kovo 11-osios gimnazija,2026-09-02
Gimnazijos,290133810,Kauno Maironio universitetinë gimnazija,Pagrindinë mokykla ; Gimnazija,Kaunas,"Kaunas, Gimnazijos g. 3",88691960190,290133810,Kauno Maironio universitetinė gimnazija,2026-09-02
Gimnazijos,190137989,Kauno Palemono gimnazija,Gimnazija ; Pradinë mokykla ; Pagrindinë mokykla,Kaunas,"Kaunas, Mariø g. 37",88691960147,190137989,Kauno Palemono gimnazija,2026-09-02
Gimnazijos,190135447,Prezidento Valdo Adamkaus gimnazija,Gimnazija ; Ikimokyklinio ugdymo mokykla ; Pagrindinë mokykla ; Pradinë mokykla,Kaunas,"Kaunas, Bitininkø g. 31",88691960179,190135447,Prezidento Valdo Adamkaus gimnazija,2026-09-02
Gimnazijos,300594100,Kauno Aleksandro Puðkino gimnazija,Gimnazija,Kaunas,"Kaunas, Vytauto pr. 50",88888880102,300594100,Kauno tarptautinė gimnazija,2026-09-02
Gimnazijos,190138557,"Vytauto Didþiojo universiteto ""Rasos"" gimnazija",Gimnazija ; Pagrindinë mokykla ; Ikimokyklinio ugdymo mokykla,Kaunas,"Kaunas, P. Lukðio g. 40",88691960153,190138557,Vytauto Didžiojo universiteto Rasos gimnazija,2026-09-02
Gimnazijos,191090841,Kauno Rokø gimnazija,Gimnazija,Kaunas,"Kaunas, Vijûnø g. 2",88691960165,191090841,Prezidento Antano Smetonos gimnazija,2026-09-02
Gimnazijos,190139844,"Kauno ""Santaros"" gimnazija",Pagrindinë mokykla ; Gimnazija,Kaunas,"Kaunas, Baltø pr. 51",88691960201,190139844,Kauno Santaros gimnazija,2026-09-02
Gimnazijos,190134683,"Kauno ""Saulës"" gimnazija",Gimnazija ; Pagrindinë mokykla,Kaunas,"Kaunas, Savanoriø pr. 46",88691960183,190134683,Kauno Saulės gimnazija,2026-09-02
Gimnazijos,190138895,"Kauno ""Varpo"" gimnazija",Pagrindinë mokykla ; Gimnazija,Kaunas,"Kaunas, Rytø g. 19",88691960154,190138895,Kauno Varpo gimnazija,2026-09-02
Gimnazijos,190135828,Kauno Verðvø gimnazija,Pradinë mokykla ; Pagrindinë mokykla ; Gimnazija,Kaunas,"Kaunas, Mûðos g. 6",88691960177,190135828,Kauno Veršvų gimnazija,2026-09-02
Gimnazijos,190136887,"Kauno ""Vyturio"" gimnazija",Pradinë mokykla ; Pagrindinë mokykla ; Ikimokyklinio ugdymo mokykla ; Neformaliojo vaikø ðvietimo mokykla ir formaløjá ðvietimà papildanèio ugdymo mokykla ; Gimnazija,Kaunas,"Kaunas, Taikos pr. 51",88691960141,190136887,Kauno Vyturio gimnazija,2026-09-02
Specialiosios mokyklos ir ugdymo centrai,190983430,Kauno Prano Daunio ugdymo centras,Pagrindinë mokykla ; Ikimokyklinio ugdymo mokykla ; Pradinë mokykla,Kaunas,"Kaunas, Taikos pr. 6A",88603090232,190983430,Kauno Prano Daunio ugdymo centras,2026-09-02
Specialiosios mokyklos ir ugdymo centrai,290983050,Kauno Jono Lauþiko mokykla,Pradinë mokykla ; Pagrindinë mokykla,Kaunas,"Kaunas, Tunelio g. 41",88601990005,290983050,Kauno Jono Laužiko mokykla,2026-09-02
Specialiosios mokyklos ir ugdymo centrai,190797479,Kauno specialioji mokykla,Pradinë mokykla ; Gimnazija ; Ikimokyklinio ugdymo mokykla ; Pagrindinë mokykla,Kaunas,"Kaunas, Apuolës g. 11",88601990013,190797479,Kauno šv. Roko mokykla,2026-09-02
